,Bird Type,Bird Info,Bird Family
380,Pinyon Jay,Gymnorhinus cyanocephalus,New World Quail Odontophoridae 
381,Steller's Jay,Cyanocitta stelleri,New World Quail Odontophoridae 
382,Blue Jay,Cyanocitta cristata,New World Quail Odontophoridae 
383,Florida Scrub-Jay,Aphelocoma coerulescens,New World Quail Odontophoridae 
384,California Scrub-Jay,Aphelocoma californica,New World Quail Odontophoridae 
385,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,New World Quail Odontophoridae 
386,Mexican Jay,Aphelocoma wollweberi,New World Quail Odontophoridae 
387,Black-billed Magpie,Pica hudsonia,New World Quail Odontophoridae 
388,Yellow-billed Magpie,Pica nuttalli,New World Quail Odontophoridae 
389,Clark's Nutcracker,Nucifraga columbiana,New World Quail Odontophoridae 
390,American Crow,Corvus brachyrhynchos,New World Quail Odontophoridae 
391,Fish Crow,Corvus ossifragus,New World Quail Odontophoridae 
392,Chihuahuan Raven,Corvus cryptoleucus,New World Quail Odontophoridae 
393,Common Raven,Corvus corax,New World Quail Odontophoridae 
394,Carolina Chickadee,Poecile carolinensis,New World Quail Odontophoridae 
395,Black-capped Chickadee,Poecile atricapillus,New World Quail Odontophoridae 
396,Mountain Chickadee,Poecile gambeli,New World Quail Odontophoridae 
397,Chestnut-backed Chickadee,Poecile rufescens,New World Quail Odontophoridae 
398,Boreal Chickadee,Poecile hudsonicus,New World Quail Odontophoridae 
399,Bridled Titmouse,Baeolophus wollweberi,New World Quail Odontophoridae 
400,Oak Titmouse,Baeolophus inornatus,New World Quail Odontophoridae 
401,Juniper Titmouse,Baeolophus ridgwayi,New World Quail Odontophoridae 
402,Tufted Titmouse,Baeolophus bicolor,New World Quail Odontophoridae 
403,Black-crested Titmouse,Baeolophus atricristatus,New World Quail Odontophoridae 
404,Verdin,Auriparus flaviceps,New World Quail Odontophoridae 
405,Horned Lark,Eremophila alpestris,New World Quail Odontophoridae 
406,Northern Rough-winged Swallow,Stelgidopteryx serripennis,New World Quail Odontophoridae 
407,Purple Martin,Progne subis,New World Quail Odontophoridae 
408,Tree Swallow,Tachycineta bicolor,New World Quail Odontophoridae 
409,Violet-green Swallow,Tachycineta thalassina,New World Quail Odontophoridae 
410,Bank Swallow,Riparia riparia,New World Quail Odontophoridae 
411,Barn Swallow,Hirundo rustica,New World Quail Odontophoridae 
412,Cliff Swallow,Petrochelidon pyrrhonota,New World Quail Odontophoridae 
413,Cave Swallow,Petrochelidon fulva,New World Quail Odontophoridae 
414,Arctic Warbler,Phylloscopus borealis,New World Quail Odontophoridae 
415,Bushtit,Psaltriparus minimus,New World Quail Odontophoridae 
416,Wrentit,Chamaea fasciata,New World Quail Odontophoridae 
417,Ruby-crowned Kinglet,Corthylio calendula,New World Quail Odontophoridae 
418,Golden-crowned Kinglet,Regulus satrapa,New World Quail Odontophoridae 
419,Red-breasted Nuthatch,Sitta canadensis,New World Quail Odontophoridae 
420,White-breasted Nuthatch,Sitta carolinensis,New World Quail Odontophoridae 
421,Pygmy Nuthatch,Sitta pygmaea,New World Quail Odontophoridae 
422,Brown-headed Nuthatch,Sitta pusilla,New World Quail Odontophoridae 
423,Brown Creeper,Certhia americana,New World Quail Odontophoridae 
424,Blue-gray Gnatcatcher,Polioptila caerulea,New World Quail Odontophoridae 
425,Black-tailed Gnatcatcher,Polioptila melanura,New World Quail Odontophoridae 
426,California Gnatcatcher,Polioptila californica,New World Quail Odontophoridae 
427,Rock Wren,Salpinctes obsoletus,New World Quail Odontophoridae 
428,Canyon Wren,Catherpes mexicanus,New World Quail Odontophoridae 
429,House Wren,Troglodytes aedon,New World Quail Odontophoridae 
430,Pacific Wren,Troglodytes pacificus,New World Quail Odontophoridae 
431,Winter Wren,Troglodytes hiemalis,New World Quail Odontophoridae 
432,Sedge Wren,Cistothorus stellaris,New World Quail Odontophoridae 
433,Marsh Wren,Cistothorus palustris,New World Quail Odontophoridae 
434,Carolina Wren,Thryothorus ludovicianus,New World Quail Odontophoridae 
435,Bewick's Wren,Thryomanes bewickii,New World Quail Odontophoridae 
436,Cactus Wren,Campylorhynchus brunneicapillus,New World Quail Odontophoridae 
437,American Dipper,Cinclus mexicanus,New World Quail Odontophoridae 
438,European Starling,Sturnus vulgaris,New World Quail Odontophoridae 
439,Gray Catbird,Dumetella carolinensis,New World Quail Odontophoridae 
440,Curve-billed Thrasher,Toxostoma curvirostre,New World Quail Odontophoridae 
441,Brown Thrasher,Toxostoma rufum,New World Quail Odontophoridae 
442,Long-billed Thrasher,Toxostoma longirostre,New World Quail Odontophoridae 
443,Bendire's Thrasher,Toxostoma bendirei,New World Quail Odontophoridae 
444,California Thrasher,Toxostoma redivivum,New World Quail Odontophoridae 
445,LeConte's Thrasher,Toxostoma lecontei,New World Quail Odontophoridae 
446,Crissal Thrasher,Toxostoma crissale,New World Quail Odontophoridae 
447,Sage Thrasher,Oreoscoptes montanus,New World Quail Odontophoridae 
448,Northern Mockingbird,Mimus polyglottos,New World Quail Odontophoridae 
449,Eastern Bluebird,Sialia sialis,New World Quail Odontophoridae 
450,Western Bluebird,Sialia mexicana,New World Quail Odontophoridae 
451,Mountain Bluebird,Sialia currucoides,New World Quail Odontophoridae 
452,Townsend's Solitaire,Myadestes townsendi,New World Quail Odontophoridae 
453,Varied Thrush,Ixoreus naevius,New World Quail Odontophoridae 
454,Veery,Catharus fuscescens,New World Quail Odontophoridae 
455,Gray-cheeked Thrush,Catharus minimus,New World Quail Odontophoridae 
456,Bicknell's Thrush,Catharus bicknelli,New World Quail Odontophoridae 
457,Swainson's Thrush,Catharus ustulatus,New World Quail Odontophoridae 
458,Hermit Thrush,Catharus guttatus,New World Quail Odontophoridae 
459,Wood Thrush,Hylocichla mustelina,New World Quail Odontophoridae 
460,American Robin,Turdus migratorius,New World Quail Odontophoridae 
461,Bluethroat,Luscinia svecica,New World Quail Odontophoridae 
462,Bohemian Waxwing,Bombycilla garrulus,New World Quail Odontophoridae 
463,Cedar Waxwing,Bombycilla cedrorum,New World Quail Odontophoridae 
464,Phainopepla,Phainopepla nitens,New World Quail Odontophoridae 
465,Olive Warbler,Peucedramus taeniatus,New World Quail Odontophoridae 
466,House Sparrow,Passer domesticus,New World Quail Odontophoridae 
467,Eurasian Tree Sparrow,Passer montanus,New World Quail Odontophoridae 
468,American Pipit,Anthus rubescens,New World Quail Odontophoridae 
469,Sprague's Pipit,Anthus spragueii,New World Quail Odontophoridae 
470,Evening Grosbeak,Coccothraustes vespertinus,New World Quail Odontophoridae 
471,Pine Grosbeak,Pinicola enucleator,New World Quail Odontophoridae 
472,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,New World Quail Odontophoridae 
473,Black Rosy-Finch,Leucosticte atrata,New World Quail Odontophoridae 
474,Brown-capped Rosy-Finch,Leucosticte australis,New World Quail Odontophoridae 
475,House Finch,Haemorhous mexicanus,New World Quail Odontophoridae 
476,Purple Finch,Haemorhous purpureus,New World Quail Odontophoridae 
477,Cassin's Finch,Haemorhous cassinii,New World Quail Odontophoridae 
478,Common Redpoll,Acanthis flammea,New World Quail Odontophoridae 
479,Hoary Redpoll,Acanthis hornemanni,New World Quail Odontophoridae 
480,Red Crossbill,Loxia curvirostra,New World Quail Odontophoridae 
481,Cassia Crossbill,Loxia sinesciuris,New World Quail Odontophoridae 
482,White-winged Crossbill,Loxia leucoptera,New World Quail Odontophoridae 
483,Pine Siskin,Spinus pinus,New World Quail Odontophoridae 
484,Lesser Goldfinch,Spinus psaltria,New World Quail Odontophoridae 
485,Lawrence's Goldfinch,Spinus lawrencei,New World Quail Odontophoridae 
486,American Goldfinch,Spinus tristis,New World Quail Odontophoridae 
487,Lapland Longspur,Calcarius lapponicus,New World Quail Odontophoridae 
488,Chestnut-collared Longspur,Calcarius ornatus,New World Quail Odontophoridae 
489,Smith's Longspur,Calcarius pictus,New World Quail Odontophoridae 
490,Thick-billed Longspur,Rhynchophanes mccownii,New World Quail Odontophoridae 
491,Snow Bunting,Plectrophenax nivalis,New World Quail Odontophoridae 
492,Rufous-winged Sparrow,Peucaea carpalis,New World Quail Odontophoridae 
493,Botteri's Sparrow,Peucaea botterii,New World Quail Odontophoridae 
494,Cassin's Sparrow,Peucaea cassinii,New World Quail Odontophoridae 
495,Bachman's Sparrow,Peucaea aestivalis,New World Quail Odontophoridae 
496,Grasshopper Sparrow,Ammodramus savannarum,New World Quail Odontophoridae 
497,Olive Sparrow,Arremonops rufivirgatus,New World Quail Odontophoridae 
498,Chipping Sparrow,Spizella passerina,New World Quail Odontophoridae 
499,Clay-colored Sparrow,Spizella pallida,New World Quail Odontophoridae 
500,Black-chinned Sparrow,Spizella atrogularis,New World Quail Odontophoridae 
501,Field Sparrow,Spizella pusilla,New World Quail Odontophoridae 
502,Brewer's Sparrow,Spizella breweri,New World Quail Odontophoridae 
503,Black-throated Sparrow,Amphispiza bilineata,New World Quail Odontophoridae 
504,Lark Sparrow,Chondestes grammacus,New World Quail Odontophoridae 
505,Lark Bunting,Calamospiza melanocorys,New World Quail Odontophoridae 
506,American Tree Sparrow,Spizelloides arborea,New World Quail Odontophoridae 
507,Fox Sparrow,Passerella iliaca,New World Quail Odontophoridae 
508,Dark-eyed Junco,Junco hyemalis,New World Quail Odontophoridae 
509,Yellow-eyed Junco,Junco phaeonotus,New World Quail Odontophoridae 
510,White-crowned Sparrow,Zonotrichia leucophrys,New World Quail Odontophoridae 
511,Golden-crowned Sparrow,Zonotrichia atricapilla,New World Quail Odontophoridae 
512,Harris's Sparrow,Zonotrichia querula,New World Quail Odontophoridae 
513,White-throated Sparrow,Zonotrichia albicollis,New World Quail Odontophoridae 
514,Sagebrush Sparrow,Artemisiospiza nevadensis,New World Quail Odontophoridae 
515,Bell's Sparrow,Artemisiospiza belli,New World Quail Odontophoridae 
516,Vesper Sparrow,Pooecetes gramineus,New World Quail Odontophoridae 
517,LeConte's Sparrow,Ammospiza leconteii,New World Quail Odontophoridae 
518,Seaside Sparrow,Ammospiza maritima,New World Quail Odontophoridae 
519,Nelson's Sparrow,Ammospiza nelsoni,New World Quail Odontophoridae 
520,Saltmarsh Sparrow,Ammospiza caudacuta,New World Quail Odontophoridae 
521,Savannah Sparrow,Passerculus sandwichensis,New World Quail Odontophoridae 
522,Baird's Sparrow,Centronyx bairdii,New World Quail Odontophoridae 
523,Henslow's Sparrow,Centronyx henslowii,New World Quail Odontophoridae 
524,Song Sparrow,Melospiza melodia,New World Quail Odontophoridae 
525,Lincoln's Sparrow,Melospiza lincolnii,New World Quail Odontophoridae 
526,Swamp Sparrow,Melospiza georgiana,New World Quail Odontophoridae 
527,Canyon Towhee,Melozone fusca,New World Quail Odontophoridae 
528,Abert's Towhee,Melozone aberti,New World Quail Odontophoridae 
529,California Towhee,Melozone crissalis,New World Quail Odontophoridae 
530,Rufous-crowned Sparrow,Aimophila ruficeps,New World Quail Odontophoridae 
531,Green-tailed Towhee,Pipilo chlorurus,New World Quail Odontophoridae 
532,Spotted Towhee,Pipilo maculatus,New World Quail Odontophoridae 
533,Eastern Towhee,Pipilo erythrophthalmus,New World Quail Odontophoridae 
534,Yellow-breasted Chat,Icteria virens,New World Quail Odontophoridae 
535,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,New World Quail Odontophoridae 
536,Bobolink,Dolichonyx oryzivorus,New World Quail Odontophoridae 
537,Western Meadowlark,Sturnella neglecta,New World Quail Odontophoridae 
538,Eastern Meadowlark,Sturnella magna,New World Quail Odontophoridae 
539,Orchard Oriole,Icterus spurius,New World Quail Odontophoridae 
540,Hooded Oriole,Icterus cucullatus,New World Quail Odontophoridae 
541,Bullock's Oriole,Icterus bullockii,New World Quail Odontophoridae 
542,Spot-breasted Oriole,Icterus pectoralis,New World Quail Odontophoridae 
543,Altamira Oriole,Icterus gularis,New World Quail Odontophoridae 
544,Audubon's Oriole,Icterus graduacauda,New World Quail Odontophoridae 
545,Baltimore Oriole,Icterus galbula,New World Quail Odontophoridae 
546,Scott's Oriole,Icterus parisorum,New World Quail Odontophoridae 
547,Red-winged Blackbird,Agelaius phoeniceus,New World Quail Odontophoridae 
548,Tricolored Blackbird,Agelaius tricolor,New World Quail Odontophoridae 
549,Shiny Cowbird,Molothrus bonariensis,New World Quail Odontophoridae 
550,Bronzed Cowbird,Molothrus aeneus,New World Quail Odontophoridae 
551,Brown-headed Cowbird,Molothrus ater,New World Quail Odontophoridae 
552,Rusty Blackbird,Euphagus carolinus,New World Quail Odontophoridae 
553,Brewer's Blackbird,Euphagus cyanocephalus,New World Quail Odontophoridae 
554,Common Grackle,Quiscalus quiscula,New World Quail Odontophoridae 
555,Boat-tailed Grackle,Quiscalus major,New World Quail Odontophoridae 
556,Great-tailed Grackle,Quiscalus mexicanus,New World Quail Odontophoridae 
557,Ovenbird,Seiurus aurocapilla,New World Quail Odontophoridae 
558,Worm-eating Warbler,Helmitheros vermivorum,New World Quail Odontophoridae 
559,Louisiana Waterthrush,Parkesia motacilla,New World Quail Odontophoridae 
560,Northern Waterthrush,Parkesia noveboracensis,New World Quail Odontophoridae 
561,Golden-winged Warbler,Vermivora chrysoptera,New World Quail Odontophoridae 
562,Blue-winged Warbler,Vermivora cyanoptera,New World Quail Odontophoridae 
563,Black-and-white Warbler,Mniotilta varia,New World Quail Odontophoridae 
564,Prothonotary Warbler,Protonotaria citrea,New World Quail Odontophoridae 
565,Swainson's Warbler,Limnothlypis swainsonii,New World Quail Odontophoridae 
566,Tennessee Warbler,Leiothlypis peregrina,New World Quail Odontophoridae 
567,Orange-crowned Warbler,Leiothlypis celata,New World Quail Odontophoridae 
568,Lucy's Warbler,Leiothlypis luciae,New World Quail Odontophoridae 
569,Nashville Warbler,Leiothlypis ruficapilla,New World Quail Odontophoridae 
570,Virginia's Warbler,Leiothlypis virginiae,New World Quail Odontophoridae 
571,Connecticut Warbler,Oporornis agilis,New World Quail Odontophoridae 
572,MacGillivray's Warbler,Geothlypis tolmiei,New World Quail Odontophoridae 
573,Mourning Warbler,Geothlypis philadelphia,New World Quail Odontophoridae 
574,Kentucky Warbler,Geothlypis formosa,New World Quail Odontophoridae 
575,Common Yellowthroat,Geothlypis trichas,New World Quail Odontophoridae 
576,Hooded Warbler,Setophaga citrina,New World Quail Odontophoridae 
577,American Redstart,Setophaga ruticilla,New World Quail Odontophoridae 
578,Kirtland's Warbler,Setophaga kirtlandii,New World Quail Odontophoridae 
579,Cape May Warbler,Setophaga tigrina,New World Quail Odontophoridae 
580,Cerulean Warbler,Setophaga cerulea,New World Quail Odontophoridae 
581,Northern Parula,Setophaga americana,New World Quail Odontophoridae 
582,Magnolia Warbler,Setophaga magnolia,New World Quail Odontophoridae 
583,Bay-breasted Warbler,Setophaga castanea,New World Quail Odontophoridae 
584,Blackburnian Warbler,Setophaga fusca,New World Quail Odontophoridae 
585,Yellow Warbler,Setophaga petechia,New World Quail Odontophoridae 
586,Chestnut-sided Warbler,Setophaga pensylvanica,New World Quail Odontophoridae 
587,Blackpoll Warbler,Setophaga striata,New World Quail Odontophoridae 
588,Black-throated Blue Warbler,Setophaga caerulescens,New World Quail Odontophoridae 
589,Palm Warbler,Setophaga palmarum,New World Quail Odontophoridae 
590,Pine Warbler,Setophaga pinus,New World Quail Odontophoridae 
591,Yellow-rumped Warbler,Setophaga coronata,New World Quail Odontophoridae 
592,Yellow-throated Warbler,Setophaga dominica,New World Quail Odontophoridae 
593,Prairie Warbler,Setophaga discolor,New World Quail Odontophoridae 
594,Grace's Warbler,Setophaga graciae,New World Quail Odontophoridae 
595,Black-throated Gray Warbler,Setophaga nigrescens,New World Quail Odontophoridae 
596,Townsend's Warbler,Setophaga townsendi,New World Quail Odontophoridae 
597,Hermit Warbler,Setophaga occidentalis,New World Quail Odontophoridae 
598,Golden-cheeked Warbler,Setophaga chrysoparia,New World Quail Odontophoridae 
599,Black-throated Green Warbler,Setophaga virens,New World Quail Odontophoridae 
600,Canada Warbler,Cardellina canadensis,New World Quail Odontophoridae 
601,Wilson's Warbler,Cardellina pusilla,New World Quail Odontophoridae 
602,Red-faced Warbler,Cardellina rubrifrons,New World Quail Odontophoridae 
603,Painted Redstart,Myioborus pictus,New World Quail Odontophoridae 
604,Hepatic Tanager,Piranga flava,New World Quail Odontophoridae 
605,Summer Tanager,Piranga rubra,New World Quail Odontophoridae 
606,Scarlet Tanager,Piranga olivacea,New World Quail Odontophoridae 
607,Western Tanager,Piranga ludoviciana,New World Quail Odontophoridae 
608,Northern Cardinal,Cardinalis cardinalis,New World Quail Odontophoridae 
609,Pyrrhuloxia,Cardinalis sinuatus,New World Quail Odontophoridae 
610,Rose-breasted Grosbeak,Pheucticus ludovicianus,New World Quail Odontophoridae 
611,Black-headed Grosbeak,Pheucticus melanocephalus,New World Quail Odontophoridae 
612,Blue Grosbeak,Passerina caerulea,New World Quail Odontophoridae 
613,Lazuli Bunting,Passerina amoena,New World Quail Odontophoridae 
614,Indigo Bunting,Passerina cyanea,New World Quail Odontophoridae 
615,Varied Bunting,Passerina versicolor,New World Quail Odontophoridae 
616,Painted Bunting,Passerina ciris,New World Quail Odontophoridae 
617,Dickcissel,Spiza americana,New World Quail Odontophoridae 
