,Bird Type,Bird Info,Bird Family
78,Eurasian Collared-Dove,Streptopelia decaocto,New World Quail Odontophoridae 
79,African Collared-Dove,Streptopelia roseogrisea,New World Quail Odontophoridae 
80,Inca Dove,Columbina inca,New World Quail Odontophoridae 
81,Common Ground Dove,Columbina passerina,New World Quail Odontophoridae 
82,White-tipped Dove,Leptotila verreauxi,New World Quail Odontophoridae 
83,White-winged Dove,Zenaida asiatica,New World Quail Odontophoridae 
84,Mourning Dove,Zenaida macroura,New World Quail Odontophoridae 
85,Smooth-billed Ani,Crotophaga ani,New World Quail Odontophoridae 
86,Groove-billed Ani,Crotophaga sulcirostris,New World Quail Odontophoridae 
87,Greater Roadrunner,Geococcyx californianus,New World Quail Odontophoridae 
88,Yellow-billed Cuckoo,Coccyzus americanus,New World Quail Odontophoridae 
89,Mangrove Cuckoo,Coccyzus minor,New World Quail Odontophoridae 
90,Black-billed Cuckoo,Coccyzus erythropthalmus,New World Quail Odontophoridae 
91,Lesser Nighthawk,Chordeiles acutipennis,New World Quail Odontophoridae 
92,Common Nighthawk,Chordeiles minor,New World Quail Odontophoridae 
93,Common Pauraque,Nyctidromus albicollis,New World Quail Odontophoridae 
94,Common Poorwill,Phalaenoptilus nuttallii,New World Quail Odontophoridae 
95,Chuck-will's-widow,Antrostomus carolinensis,New World Quail Odontophoridae 
96,Eastern Whip-poor-will,Antrostomus vociferus,New World Quail Odontophoridae 
97,Black Swift,Cypseloides niger,New World Quail Odontophoridae 
98,Chimney Swift,Chaetura pelagica,New World Quail Odontophoridae 
99,Vaux's Swift,Chaetura vauxi,New World Quail Odontophoridae 
100,White-throated Swift,Aeronautes saxatalis,New World Quail Odontophoridae 
101,Rivoli's Hummingbird,Eugenes fulgens,New World Quail Odontophoridae 
102,Blue-throated Mountain-gem,Lampornis clemenciae,New World Quail Odontophoridae 
103,Lucifer Hummingbird,Calothorax lucifer,New World Quail Odontophoridae 
104,Ruby-throated Hummingbird,Archilochus colubris,New World Quail Odontophoridae 
105,Black-chinned Hummingbird,Archilochus alexandri,New World Quail Odontophoridae 
106,Anna's Hummingbird,Calypte anna,New World Quail Odontophoridae 
107,Costa's Hummingbird,Calypte costae,New World Quail Odontophoridae 
108,Calliope Hummingbird,Selasphorus calliope,New World Quail Odontophoridae 
109,Rufous Hummingbird,Selasphorus rufus,New World Quail Odontophoridae 
110,Allen's Hummingbird,Selasphorus sasin,New World Quail Odontophoridae 
111,Broad-tailed Hummingbird,Selasphorus platycercus,New World Quail Odontophoridae 
112,Broad-billed Hummingbird,Cynanthus latirostris,New World Quail Odontophoridae 
113,Buff-bellied Hummingbird,Amazilia yucatanensis,New World Quail Odontophoridae 
114,Ridgway's Rail,Rallus obsoletus,New World Quail Odontophoridae 
115,King Rail,Rallus elegans,New World Quail Odontophoridae 
116,Clapper Rail,Rallus crepitans,New World Quail Odontophoridae 
117,Virginia Rail,Rallus limicola,New World Quail Odontophoridae 
118,Sora,Porzana carolina,New World Quail Odontophoridae 
119,Common Gallinule,Gallinula galeata,New World Quail Odontophoridae 
120,American Coot,Fulica americana,New World Quail Odontophoridae 
121,Purple Gallinule,Porphyrio martinica,New World Quail Odontophoridae 
122,Yellow Rail,Coturnicops noveboracensis,New World Quail Odontophoridae 
123,Black Rail,Laterallus jamaicensis,New World Quail Odontophoridae 
124,Limpkin,Aramus guarauna,New World Quail Odontophoridae 
125,Sandhill Crane,Antigone canadensis,New World Quail Odontophoridae 
126,Whooping Crane,Grus americana,New World Quail Odontophoridae 
127,Black-necked Stilt,Himantopus mexicanus,New World Quail Odontophoridae 
128,American Avocet,Recurvirostra americana,New World Quail Odontophoridae 
129,American Oystercatcher,Haematopus palliatus,New World Quail Odontophoridae 
130,Black Oystercatcher,Haematopus bachmani,New World Quail Odontophoridae 
131,Black-bellied Plover,Pluvialis squatarola,New World Quail Odontophoridae 
132,American Golden-Plover,Pluvialis dominica,New World Quail Odontophoridae 
133,Pacific Golden-Plover,Pluvialis fulva,New World Quail Odontophoridae 
134,Snowy Plover,Charadrius nivosus,New World Quail Odontophoridae 
135,Wilson's Plover,Charadrius wilsonia,New World Quail Odontophoridae 
136,Semipalmated Plover,Charadrius semipalmatus,New World Quail Odontophoridae 
137,Piping Plover,Charadrius melodus,New World Quail Odontophoridae 
138,Killdeer,Charadrius vociferus,New World Quail Odontophoridae 
139,Mountain Plover,Charadrius montanus,New World Quail Odontophoridae 
140,Upland Sandpiper,Bartramia longicauda,New World Quail Odontophoridae 
141,Whimbrel,Numenius phaeopus,New World Quail Odontophoridae 
142,Long-billed Curlew,Numenius americanus,New World Quail Odontophoridae 
143,Hudsonian Godwit,Limosa haemastica,New World Quail Odontophoridae 
144,Marbled Godwit,Limosa fedoa,New World Quail Odontophoridae 
145,Ruddy Turnstone,Arenaria interpres,New World Quail Odontophoridae 
146,Black Turnstone,Arenaria melanocephala,New World Quail Odontophoridae 
147,Red Knot,Calidris canutus,New World Quail Odontophoridae 
148,Surfbird,Calidris virgata,New World Quail Odontophoridae 
149,Stilt Sandpiper,Calidris himantopus,New World Quail Odontophoridae 
150,Sanderling,Calidris alba,New World Quail Odontophoridae 
151,Dunlin,Calidris alpina,New World Quail Odontophoridae 
152,Rock Sandpiper,Calidris ptilocnemis,New World Quail Odontophoridae 
153,Purple Sandpiper,Calidris maritima,New World Quail Odontophoridae 
154,Baird's Sandpiper,Calidris bairdii,New World Quail Odontophoridae 
155,Least Sandpiper,Calidris minutilla,New World Quail Odontophoridae 
156,White-rumped Sandpiper,Calidris fuscicollis,New World Quail Odontophoridae 
157,Buff-breasted Sandpiper,Calidris subruficollis,New World Quail Odontophoridae 
158,Pectoral Sandpiper,Calidris melanotos,New World Quail Odontophoridae 
159,Semipalmated Sandpiper,Calidris pusilla,New World Quail Odontophoridae 
160,Western Sandpiper,Calidris mauri,New World Quail Odontophoridae 
161,Short-billed Dowitcher,Limnodromus griseus,New World Quail Odontophoridae 
162,Long-billed Dowitcher,Limnodromus scolopaceus,New World Quail Odontophoridae 
163,American Woodcock,Scolopax minor,New World Quail Odontophoridae 
164,Wilson's Snipe,Gallinago delicata,New World Quail Odontophoridae 
165,Wilson's Phalarope,Phalaropus tricolor,New World Quail Odontophoridae 
166,Red-necked Phalarope,Phalaropus lobatus,New World Quail Odontophoridae 
167,Red Phalarope,Phalaropus fulicarius,New World Quail Odontophoridae 
168,Spotted Sandpiper,Actitis macularius,New World Quail Odontophoridae 
169,Solitary Sandpiper,Tringa solitaria,New World Quail Odontophoridae 
170,Wandering Tattler,Tringa incana,New World Quail Odontophoridae 
171,Greater Yellowlegs,Tringa melanoleuca,New World Quail Odontophoridae 
172,Willet,Tringa semipalmata,New World Quail Odontophoridae 
173,Lesser Yellowlegs,Tringa flavipes,New World Quail Odontophoridae 
174,Pomarine Jaeger,Stercorarius pomarinus,New World Quail Odontophoridae 
175,Parasitic Jaeger,Stercorarius parasiticus,New World Quail Odontophoridae 
176,Long-tailed Jaeger,Stercorarius longicaudus,New World Quail Odontophoridae 
177,Dovekie,Alle alle,New World Quail Odontophoridae 
178,Common Murre,Uria aalge,New World Quail Odontophoridae 
179,Thick-billed Murre,Uria lomvia,New World Quail Odontophoridae 
180,Razorbill,Alca torda,New World Quail Odontophoridae 
181,Black Guillemot,Cepphus grylle,New World Quail Odontophoridae 
182,Pigeon Guillemot,Cepphus columba,New World Quail Odontophoridae 
183,Marbled Murrelet,Brachyramphus marmoratus,New World Quail Odontophoridae 
184,Ancient Murrelet,Synthliboramphus antiquus,New World Quail Odontophoridae 
185,Cassin's Auklet,Ptychoramphus aleuticus,New World Quail Odontophoridae 
186,Parakeet Auklet,Aethia psittacula,New World Quail Odontophoridae 
187,Rhinoceros Auklet,Cerorhinca monocerata,New World Quail Odontophoridae 
188,Atlantic Puffin,Fratercula arctica,New World Quail Odontophoridae 
189,Horned Puffin,Fratercula corniculata,New World Quail Odontophoridae 
190,Tufted Puffin,Fratercula cirrhata,New World Quail Odontophoridae 
